0,1.5,2,3.5,1,1,unacc
0,1.5,2,3.5,1,2.5,acc
0,1.5,2,3.5,5.1,0,unacc
0,1.5,2,3.5,5.1,1,acc
0,1.5,2,3.5,5.1,2.5,acc
0,1.5,3,2,0.2,0,unacc
0,1.5,3,2,0.2,1,unacc
0,1.5,3,2,0.2,2.5,unacc
0,1.5,3,2,1,0,unacc
0,1.5,3,2,1,1,unacc
0,1.5,3,2,1,2.5,unacc
0,1.5,3,2,5.1,0,unacc
0,1.5,3,2,5.1,1,unacc
0,1.5,3,2,5.1,2.5,unacc
0,1.5,3,4,0.2,0,unacc
0,1.5,3,4,0.2,1,unacc
0,1.5,3,4,0.2,2.5,acc
0,1.5,3,4,1,0,unacc
0,1.5,3,4,1,1,unacc
0,1.5,3,4,1,2.5,acc
0,1.5,3,4,5.1,0,unacc
0,1.5,3,4,5.1,1,acc
0,1.5,3,4,5.1,2.5,acc
0,1.5,3,3.5,0.2,0,unacc
0,1.5,3,3.5,0.2,1,unacc
0,1.5,3,3.5,0.2,2.5,acc
0,1.5,3,3.5,1,0,unacc
0,1.5,3,3.5,1,1,acc
0,1.5,3,3.5,1,2.5,acc
0,1.5,3,3.5,5.1,0,unacc
0,1.5,3,3.5,5.1,1,acc
0,1.5,3,3.5,5.1,2.5,acc
0,1.5,4,2,0.2,0,unacc
0,1.5,4,2,0.2,1,unacc
0,1.5,4,2,0.2,2.5,unacc
0,1.5,4,2,1,0,unacc
0,1.5,4,2,1,1,unacc
0,1.5,4,2,1,2.5,unacc
0,1.5,4,2,5.1,0,unacc
0,1.5,4,2,5.1,1,unacc
0,1.5,4,2,5.1,2.5,unacc
0,1.5,4,4,0.2,0,unacc
0,1.5,4,4,0.2,1,unacc
0,1.5,4,4,0.2,2.5,acc
0,1.5,4,4,1,0,unacc
0,1.5,4,4,1,1,acc
0,1.5,4,4,1,2.5,acc
0,1.5,4,4,5.1,0,unacc
0,1.5,4,4,5.1,1,acc
0,1.5,4,4,5.1,2.5,acc
0,1.5,4,3.5,0.2,0,unacc
0,1.5,4,3.5,0.2,1,unacc
0,1.5,4,3.5,0.2,2.5,acc
0,1.5,4,3.5,1,0,unacc
0,1.5,4,3.5,1,1,acc
0,1.5,4,3.5,1,2.5,acc
0,1.5,4,3.5,5.1,0,unacc
0,1.5,4,3.5,5.1,1,acc
0,1.5,4,3.5,5.1,2.5,acc
0,1.5,53.5,2,0.2,0,unacc
0,1.5,53.5,2,0.2,1,unacc
0,1.5,53.5,2,0.2,2.5,unacc
0,1.5,53.5,2,1,0,unacc
0,1.5,53.5,2,1,1,unacc
0,1.5,53.5,2,1,2.5,unacc
0,1.5,53.5,2,5.1,0,unacc
0,1.5,53.5,2,5.1,1,unacc
0,1.5,53.5,2,5.1,2.5,unacc
0,1.5,53.5,4,0.2,0,unacc
0,1.5,53.5,4,0.2,1,unacc
0,1.5,53.5,4,0.2,2.5,acc
0,1.5,53.5,4,1,0,unacc
0,1.5,53.5,4,1,1,acc
0,1.5,53.5,4,1,2.5,acc
0,1.5,53.5,4,5.1,0,unacc
0,1.5,53.5,4,5.1,1,acc
0,1.5,53.5,4,5.1,2.5,acc
0,1.5,53.5,3.5,0.2,0,unacc
0,1.5,53.5,3.5,0.2,1,unacc
0,1.5,53.5,3.5,0.2,2.5,acc
0,1.5,53.5,3.5,1,0,unacc
0,1.5,53.5,3.5,1,1,acc
0,1.5,53.5,3.5,1,2.5,acc
0,1.5,53.5,3.5,5.1,0,unacc
0,1.5,53.5,3.5,5.1,1,acc
0,1.5,53.5,3.5,5.1,2.5,acc
0,2.5,2,2,0.2,0,unacc
0,2.5,2,2,0.2,1,unacc
0,2.5,2,2,0.2,2.5,unacc
0,2.5,2,2,1,0,unacc
0,2.5,2,2,1,1,unacc
0,2.5,2,2,1,2.5,unacc
0,2.5,2,2,5.1,0,unacc
0,2.5,2,2,5.1,1,unacc
0,2.5,2,2,5.1,2.5,unacc
0,2.5,2,4,0.2,0,unacc
0,2.5,2,4,0.2,1,acc
0,2.5,2,4,0.2,2.5,acc
0,2.5,2,4,1,0,unacc
0,2.5,2,4,1,1,acc
0,2.5,2,4,1,2.5,acc
0,2.5,2,4,5.1,0,unacc
0,2.5,2,4,5.1,1,acc
0,2.5,2,4,5.1,2.5,vgood
0,2.5,2,3.5,0.2,0,unacc
0,2.5,2,3.5,0.2,1,unacc
0,2.5,2,3.5,0.2,2.5,unacc
0,2.5,2,3.5,1,0,unacc
0,2.5,2,3.5,1,1,acc
0,2.5,2,3.5,1,2.5,acc
0,2.5,2,3.5,5.1,0,unacc
0,2.5,2,3.5,5.1,1,acc
0,2.5,2,3.5,5.1,2.5,vgood
0,2.5,3,2,0.2,0,unacc
0,2.5,3,2,0.2,1,unacc
0,2.5,3,2,0.2,2.5,unacc
0,2.5,3,2,1,0,unacc
0,2.5,3,2,1,1,unacc
0,2.5,3,2,1,2.5,unacc
0,2.5,3,2,5.1,0,unacc
0,2.5,3,2,5.1,1,unacc
0,2.5,3,2,5.1,2.5,unacc
0,2.5,3,4,0.2,0,unacc
0,2.5,3,4,0.2,1,acc
0,2.5,3,4,0.2,2.5,acc
0,2.5,3,4,1,0,unacc
0,2.5,3,4,1,1,acc
0,2.5,3,4,1,2.5,acc
0,2.5,3,4,5.1,0,unacc
0,2.5,3,4,5.1,1,acc
0,2.5,3,4,5.1,2.5,vgood
0,2.5,3,3.5,0.2,0,unacc
0,2.5,3,3.5,0.2,1,acc
0,2.5,3,3.5,0.2,2.5,acc
0,2.5,3,3.5,1,0,unacc
0,2.5,3,3.5,1,1,acc
0,2.5,3,3.5,1,2.5,vgood
0,2.5,3,3.5,5.1,0,unacc
0,2.5,3,3.5,5.1,1,acc
0,2.5,3,3.5,5.1,2.5,vgood
0,2.5,4,2,0.2,0,unacc
0,2.5,4,2,0.2,1,unacc
0,2.5,4,2,0.2,2.5,unacc
0,2.5,4,2,1,0,unacc
0,2.5,4,2,1,1,unacc
0,2.5,4,2,1,2.5,unacc
0,2.5,4,2,5.1,0,unacc
0,2.5,4,2,5.1,1,unacc
0,2.5,4,2,5.1,2.5,unacc
0,2.5,4,4,0.2,0,unacc
0,2.5,4,4,0.2,1,acc
0,2.5,4,4,0.2,2.5,acc
0,2.5,4,4,1,0,unacc
0,2.5,4,4,1,1,acc
0,2.5,4,4,1,2.5,vgood
0,2.5,4,4,5.1,0,unacc
0,2.5,4,4,5.1,1,acc
0,2.5,4,4,5.1,2.5,vgood
0,2.5,4,3.5,0.2,0,unacc
0,2.5,4,3.5,0.2,1,acc
0,2.5,4,3.5,0.2,2.5,acc
0,2.5,4,3.5,1,0,unacc
0,2.5,4,3.5,1,1,acc
0,2.5,4,3.5,1,2.5,vgood
0,2.5,4,3.5,5.1,0,unacc
0,2.5,4,3.5,5.1,1,acc
0,2.5,4,3.5,5.1,2.5,vgood
0,2.5,53.5,2,0.2,0,unacc
0,2.5,53.5,2,0.2,1,unacc
0,2.5,53.5,2,0.2,2.5,unacc
0,2.5,53.5,2,1,0,unacc
0,2.5,53.5,2,1,1,unacc
0,2.5,53.5,2,1,2.5,unacc
0,2.5,53.5,2,5.1,0,unacc
0,2.5,53.5,2,5.1,1,unacc
0,2.5,53.5,2,5.1,2.5,unacc
0,2.5,53.5,4,0.2,0,unacc
0,2.5,53.5,4,0.2,1,acc
0,2.5,53.5,4,0.2,2.5,acc
0,2.5,53.5,4,1,0,unacc
0,2.5,53.5,4,1,1,acc
0,2.5,53.5,4,1,2.5,vgood
0,2.5,53.5,4,5.1,0,unacc
0,2.5,53.5,4,5.1,1,acc
0,2.5,53.5,4,5.1,2.5,vgood
0,2.5,53.5,3.5,0.2,0,unacc
0,2.5,53.5,3.5,0.2,1,acc
0,2.5,53.5,3.5,0.2,2.5,acc
0,2.5,53.5,3.5,1,0,unacc
0,2.5,53.5,3.5,1,1,acc
0,2.5,53.5,3.5,1,2.5,vgood
0,2.5,53.5,3.5,5.1,0,unacc
0,2.5,53.5,3.5,5.1,1,acc
0,2.5,53.5,3.5,5.1,2.5,vgood
0,1,2,2,0.2,0,unacc
0,1,2,2,0.2,1,unacc
0,1,2,2,0.2,2.5,unacc
0,1,2,2,1,0,unacc
0,1,2,2,1,1,unacc
0,1,2,2,1,2.5,unacc
0,1,2,2,5.1,0,unacc
0,1,2,2,5.1,1,unacc
0,1,2,2,5.1,2.5,unacc
0,1,2,4,0.2,0,unacc
0,1,2,4,0.2,1,acc
0,1,2,4,0.2,2.5,good
0,1,2,4,1,0,unacc
0,1,2,4,1,1,acc
0,1,2,4,1,2.5,good
0,1,2,4,5.1,0,unacc
0,1,2,4,5.1,1,good
0,1,2,4,5.1,2.5,vgood
0,1,2,3.5,0.2,0,unacc
0,1,2,3.5,0.2,1,unacc
0,1,2,3.5,0.2,2.5,unacc
0,1,2,3.5,1,0,unacc
0,1,2,3.5,1,1,acc
0,1,2,3.5,1,2.5,good
0,1,2,3.5,5.1,0,unacc
0,1,2,3.5,5.1,1,good
0,1,2,3.5,5.1,2.5,vgood
0,1,3,2,0.2,0,unacc
0,1,3,2,0.2,1,unacc
0,1,3,2,0.2,2.5,unacc
0,1,3,2,1,0,unacc
0,1,3,2,1,1,unacc
0,1,3,2,1,2.5,unacc
0,1,3,2,5.1,0,unacc
0,1,3,2,5.1,1,unacc
0,1,3,2,5.1,2.5,unacc
0,1,3,4,0.2,0,unacc
0,1,3,4,0.2,1,acc
0,1,3,4,0.2,2.5,good
0,1,3,4,1,0,unacc
0,1,3,4,1,1,acc
0,1,3,4,1,2.5,good
0,1,3,4,5.1,0,unacc
0,1,3,4,5.1,1,good
0,1,3,4,5.1,2.5,vgood
0,1,3,3.5,0.2,0,unacc
0,1,3,3.5,0.2,1,acc
0,1,3,3.5,0.2,2.5,good
0,1,3,3.5,1,0,unacc
0,1,3,3.5,1,1,good
0,1,3,3.5,1,2.5,vgood
0,1,3,3.5,5.1,0,unacc
0,1,3,3.5,5.1,1,good
0,1,3,3.5,5.1,2.5,vgood
0,1,4,2,0.2,0,unacc
0,1,4,2,0.2,1,unacc
0,1,4,2,0.2,2.5,unacc
0,1,4,2,1,0,unacc
0,1,4,2,1,1,unacc
0,1,4,2,1,2.5,unacc
0,1,4,2,5.1,0,unacc
0,1,4,2,5.1,1,unacc
0,1,4,2,5.1,2.5,unacc
0,1,4,4,0.2,0,unacc
0,1,4,4,0.2,1,acc
0,1,4,4,0.2,2.5,good
0,1,4,4,1,0,unacc
0,1,4,4,1,1,good
0,1,4,4,1,2.5,vgood
0,1,4,4,5.1,0,unacc
0,1,4,4,5.1,1,good
0,1,4,4,5.1,2.5,vgood
0,1,4,3.5,0.2,0,unacc
0,1,4,3.5,0.2,1,acc
0,1,4,3.5,0.2,2.5,good
0,1,4,3.5,1,0,unacc
0,1,4,3.5,1,1,good
0,1,4,3.5,1,2.5,vgood
0,1,4,3.5,5.1,0,unacc
0,1,4,3.5,5.1,1,good
0,1,4,3.5,5.1,2.5,vgood
0,1,53.5,2,0.2,0,unacc
0,1,53.5,2,0.2,1,unacc
0,1,53.5,2,0.2,2.5,unacc
0,1,53.5,2,1,0,unacc
0,1,53.5,2,1,1,unacc
0,1,53.5,2,1,2.5,unacc
0,1,53.5,2,5.1,0,unacc
0,1,53.5,2,5.1,1,unacc
0,1,53.5,2,5.1,2.5,unacc
0,1,53.5,4,0.2,0,unacc
0,1,53.5,4,0.2,1,acc
0,1,53.5,4,0.2,2.5,good
0,1,53.5,4,1,0,unacc
0,1,53.5,4,1,1,good
0,1,53.5,4,1,2.5,vgood
0,1,53.5,4,5.1,0,unacc
0,1,53.5,4,5.1,1,good
0,1,53.5,4,5.1,2.5,vgood
0,1,53.5,3.5,0.2,0,unacc
0,1,53.5,3.5,0.2,1,acc
0,1,53.5,3.5,0.2,2.5,good
0,1,53.5,3.5,1,0,unacc
0,1,53.5,3.5,1,1,good
0,1,53.5,3.5,1,2.5,vgood
0,1,53.5,3.5,5.1,0,unacc
0,1,53.5,3.5,5.1,1,good
0,1,53.5,3.5,5.1,2.5,vgood
0,0,2,2,0.2,0,unacc
0,0,2,2,0.2,1,unacc
0,0,2,2,0.2,2.5,unacc
0,0,2,2,1,0,unacc
0,0,2,2,1,1,unacc
0,0,2,2,1,2.5,unacc
0,0,2,2,5.1,0,unacc
0,0,2,2,5.1,1,unacc
0,0,2,2,5.1,2.5,unacc
0,0,2,4,0.2,0,unacc
0,0,2,4,0.2,1,acc
0,0,2,4,0.2,2.5,good
0,0,2,4,1,0,unacc
0,0,2,4,1,1,acc
0,0,2,4,1,2.5,good
0,0,2,4,5.1,0,unacc
0,0,2,4,5.1,1,good
0,0,2,4,5.1,2.5,vgood
0,0,2,3.5,0.2,0,unacc
0,0,2,3.5,0.2,1,unacc
0,0,2,3.5,0.2,2.5,unacc
0,0,2,3.5,1,0,unacc
0,0,2,3.5,1,1,acc
0,0,2,3.5,1,2.5,good
0,0,2,3.5,5.1,0,unacc
0,0,2,3.5,5.1,1,good
0,0,2,3.5,5.1,2.5,vgood
0,0,3,2,0.2,0,unacc
0,0,3,2,0.2,1,unacc
0,0,3,2,0.2,2.5,unacc
0,0,3,2,1,0,unacc
0,0,3,2,1,1,unacc
0,0,3,2,1,2.5,unacc
0,0,3,2,5.1,0,unacc
0,0,3,2,5.1,1,unacc
0,0,3,2,5.1,2.5,unacc
0,0,3,4,0.2,0,unacc
0,0,3,4,0.2,1,acc
0,0,3,4,0.2,2.5,good
0,0,3,4,1,0,unacc
0,0,3,4,1,1,acc
0,0,3,4,1,2.5,good
0,0,3,4,5.1,0,unacc
0,0,3,4,5.1,1,good
0,0,3,4,5.1,2.5,vgood
0,0,3,3.5,0.2,0,unacc
0,0,3,3.5,0.2,1,acc
0,0,3,3.5,0.2,2.5,good
0,0,3,3.5,1,0,unacc
0,0,3,3.5,1,1,good
0,0,3,3.5,1,2.5,vgood
0,0,3,3.5,5.1,0,unacc
0,0,3,3.5,5.1,1,good
0,0,3,3.5,5.1,2.5,vgood
0,0,4,2,0.2,0,unacc
0,0,4,2,0.2,1,unacc
0,0,4,2,0.2,2.5,unacc
0,0,4,2,1,0,unacc
0,0,4,2,1,1,unacc
0,0,4,2,1,2.5,unacc
0,0,4,2,5.1,0,unacc
0,0,4,2,5.1,1,unacc
0,0,4,2,5.1,2.5,unacc
0,0,4,4,0.2,0,unacc
0,0,4,4,0.2,1,acc
0,0,4,4,0.2,2.5,good
0,0,4,4,1,0,unacc
0,0,4,4,1,1,good
0,0,4,4,1,2.5,vgood
0,0,4,4,5.1,0,unacc
0,0,4,4,5.1,1,good
0,0,4,4,5.1,2.5,vgood
0,0,4,3.5,0.2,0,unacc
0,0,4,3.5,0.2,1,acc
0,0,4,3.5,0.2,2.5,good
0,0,4,3.5,1,0,unacc
0,0,4,3.5,1,1,good
0,0,4,3.5,1,2.5,vgood
0,0,4,3.5,5.1,0,unacc
0,0,4,3.5,5.1,1,good
0,0,4,3.5,5.1,2.5,vgood
0,0,53.5,2,0.2,0,unacc
0,0,53.5,2,0.2,1,unacc
0,0,53.5,2,0.2,2.5,unacc
0,0,53.5,2,1,0,unacc
0,0,53.5,2,1,1,unacc
0,0,53.5,2,1,2.5,unacc
0,0,53.5,2,5.1,0,unacc
0,0,53.5,2,5.1,1,unacc
0,0,53.5,2,5.1,2.5,unacc
0,0,53.5,4,0.2,0,unacc
0,0,53.5,4,0.2,1,acc
0,0,53.5,4,0.2,2.5,good
0,0,53.5,4,1,0,unacc
0,0,53.5,4,1,1,good
0,0,53.5,4,1,2.5,vgood
0,0,53.5,4,5.1,0,unacc
0,0,53.5,4,5.1,1,good
0,0,53.5,4,5.1,2.5,vgood
0,0,53.5,3.5,0.2,0,unacc
0,0,53.5,3.5,0.2,1,acc
0,0,53.5,3.5,0.2,2.5,good
0,0,53.5,3.5,1,0,unacc
0,0,53.5,3.5,1,1,good
0,0,53.5,3.5,1,2.5,vgood
0,0,53.5,3.5,5.1,0,unacc
0,0,53.5,3.5,5.1,1,good
0,0,53.5,3.5,5.1,2.5,vgood
